Agents,Rounds,Rating,Kpr,Deaths,Dpr,HsPerc,Tier
astra,26,0.68,0.42,18,0.69,42.65,A
omen,19,0.46,0.32,15,0.79,35.77,A
fade,26,1.21,0.69,16,0.62,47.12,B
sova,19,1.02,0.63,16,0.84,51.76,S
viper,45,0.77,0.6,39,0.87,37.17,B
vyse,45,0.72,0.51,37,0.82,36.67,A
yoru,45,0.72,0.58,35,0.78,52.19,B
breach,14,0.47,0.29,11,0.79,42.72,B
viper,19,0.54,0.42,16,0.84,33.72,B
cypher,33,0.87,0.61,27,0.82,43.88,S
fade,19,1.14,0.74,13,0.68,38.25,B
sova,14,0.56,0.29,11,0.79,32.85,S
neon,14,0.25,0.29,12,0.86,37.96,C
raze,19,0.1,0.11,15,0.79,19.47,A
omen,33,0.77,0.73,29,0.88,26.46,A
chamber,24,1.61,1.25,19,0.79,41.68,C
viper,52,1.1,0.79,37,0.71,34.12,B
fade,52,1.16,0.83,39,0.75,44.81,B
vyse,24,0.76,0.58,20,0.83,31.9,A
omen,76,0.8,0.51,52,0.68,28.36,A
sova,24,0.97,0.54,15,0.62,52.17,S
tejo,52,0.8,0.54,36,0.69,38.07,S
yoru,76,0.97,0.7,56,0.74,41.62,B
cypher,19,1.42,0.95,8,0.42,34.74,S
viper,26,0.8,0.58,14,0.54,37.12,B
viper,19,1.18,0.79,12,0.63,43.75,B
neon,19,1.45,1.0,10,0.53,36.55,C
omen,45,1.04,0.67,25,0.56,45.23,A
sova,45,1.07,0.8,27,0.6,38.39,S
cypher,24,0.61,0.5,19,0.79,36.35,S
vyse,39,0.73,0.46,28,0.72,34.03,A
fade,18,0.71,0.5,13,0.72,54.06,B
sova,45,1.11,0.58,25,0.56,41.21,S
neon,24,0.79,0.67,19,0.79,31.92,C
yoru,39,1.07,0.85,28,0.72,49.32,B
omen,63,0.94,0.59,40,0.63,31.09,A
fade,18,1.06,0.72,11,0.61,43.99,B
sova,45,0.86,0.53,28,0.62,24.66,S
killjoy,42,1.6,1.07,22,0.52,35.91,B
sage,21,1.19,0.9,14,0.67,45.21,A
omen,63,0.78,0.43,42,0.67,44.85,A
raze,18,1.39,0.78,7,0.39,46.05,A
yoru,45,1.31,0.84,26,0.58,42.83,B
viper,42,0.72,0.45,30,0.71,36.41,B
vyse,21,1.29,0.81,14,0.67,30.91,A
fade,52,0.96,0.71,34,0.65,36.14,B
sova,24,0.54,0.38,17,0.71,34.43,S
omen,76,1.14,0.82,54,0.71,50.98,A
raze,52,1.05,0.73,36,0.69,44.53,A
sage,24,0.81,0.67,18,0.75,26.6,A
vyse,76,0.83,0.58,54,0.71,42.71,A
yoru,76,1.29,0.89,48,0.63,40.78,B
fade,19,0.91,0.42,11,0.58,34.14,B
omen,14,1.03,0.5,5,0.36,47.01,A
killjoy,14,0.83,0.29,4,0.29,48.83,B
viper,19,1.51,0.89,9,0.47,52.59,B
neon,14,1.52,1.07,6,0.43,40.55,C
raze,19,1.5,1.0,11,0.58,42.89,A
omen,19,1.16,0.74,10,0.53,45.81,A
viper,14,1.38,1.07,11,0.79,52.18,B
sova,14,2.4,1.29,1,0.07,48.51,S
vyse,19,1.15,0.89,12,0.63,42.37,A
astra,30,0.97,0.53,15,0.5,32.45,A
omen,47,0.95,0.47,26,0.55,30.73,A
cypher,30,1.18,0.83,17,0.57,50.24,S
killjoy,17,1.56,0.88,5,0.29,57.33,B
viper,30,0.84,0.5,19,0.63,39.38,B
jett,30,1.45,1.07,15,0.5,54.73,S
neon,17,1.73,1.35,8,0.47,52.63,C
viper,17,1.2,0.94,10,0.59,39.52,B
sova,77,1.03,0.61,43,0.56,44.51,S
astra,23,0.83,0.39,14,0.61,51.32,A
omen,39,1.01,0.56,23,0.59,40.59,A
fade,45,0.79,0.51,30,0.67,52.26,B
sova,17,1.3,0.71,7,0.41,22.86,S
killjoy,39,0.91,0.59,26,0.67,47.12,B
tejo,23,1.0,0.57,14,0.61,41.52,S
raze,22,1.04,0.86,18,0.82,39.65,A
yoru,40,1.68,1.25,26,0.65,48.03,B
viper,62,1.27,0.95,41,0.66,28.32,B
brimstone,23,1.13,0.74,15,0.65,40.44,B
omen,22,0.93,0.68,18,0.82,43.1,A
fade,62,0.84,0.53,45,0.73,51.28,B
omen,17,0.71,0.53,13,0.76,35.07,A
raze,45,0.94,0.71,35,0.78,34.39,A
viper,23,1.25,0.78,12,0.52,39.63,B
vyse,39,0.93,0.72,29,0.74,48.6,A
yoru,62,0.73,0.56,47,0.76,42.15,B
harbor,30,0.79,0.6,23,0.77,35.6,C
omen,30,1.24,0.73,18,0.6,46.61,A
viper,17,0.61,0.65,15,0.88,40.24,B
omen,47,0.72,0.43,36,0.77,45.89,A
killjoy,17,0.64,0.47,15,0.88,32.04,B
viper,30,1.15,0.67,16,0.53,39.84,B
vyse,30,0.73,0.4,23,0.77,34.7,A
neon,17,0.42,0.35,15,0.88,24.75,C
yoru,30,1.08,0.67,19,0.63,44.03,B
sova,77,0.97,0.57,54,0.7,42.19,S
astra,18,0.4,0.17,13,0.72,35.98,A
omen,26,1.16,0.69,16,0.62,40.06,A
breach,18,0.92,0.61,14,0.78,28.54,B
vyse,26,1.05,0.69,16,0.62,38.57,A
cypher,18,0.59,0.5,15,0.83,35.62,S
sage,26,0.73,0.58,21,0.81,32.9,A
sova,44,0.88,0.59,33,0.75,38.61,S
yoru,26,1.21,0.88,22,0.85,45.23,B
harbor,18,1.07,0.78,11,0.61,58.01,C
omen,26,1.19,0.73,17,0.65,43.5,A
jett,26,0.66,0.58,20,0.77,41.7,S
yoru,18,1.23,0.89,11,0.61,43.42,B
omen,18,1.03,0.61,10,0.56,26.27,A
sova,44,1.18,0.77,27,0.61,42.61,S
vyse,44,1.31,0.89,22,0.5,45.38,A
astra,44,0.7,0.39,32,0.73,57.77,A
omen,58,0.66,0.36,41,0.71,36.38,A
breach,28,0.91,0.61,19,0.68,43.07,B
cypher,18,1.0,0.72,15,0.83,40.28,S
viper,35,0.82,0.51,27,0.77,29.59,B
vyse,21,0.98,0.86,16,0.76,51.66,A
cypher,28,0.86,0.5,17,0.61,46.14,S
killjoy,19,0.88,0.58,13,0.68,46.69,B
neon,18,1.04,0.89,15,0.83,34.98,C
sage,21,1.44,1.1,14,0.67,56.86,A
vyse,16,0.41,0.5,16,1.0,25.79,A
fade,53,0.6,0.43,43,0.81,42.51,B
sova,49,1.23,0.73,31,0.63,59.78,S
raze,19,1.34,1.11,15,0.79,36.86,A
yoru,55,1.12,0.82,41,0.75,37.67,B
breach,18,1.71,1.28,12,0.67,48.24,B
fade,19,0.89,0.68,12,0.63,37.73,B
omen,28,1.0,0.61,16,0.57,29.13,A
cypher,18,1.19,0.83,9,0.5,44.85,S
viper,35,1.1,0.66,17,0.49,34.18,B
vyse,49,1.03,0.78,34,0.69,46.07,A
harbor,28,0.53,0.46,22,0.79,30.92,C
omen,74,0.99,0.68,51,0.69,53.68,A
jett,21,0.8,0.48,14,0.67,33.17,S
neon,18,0.74,0.67,14,0.78,37.88,C
raze,19,1.27,1.05,13,0.68,51.57,A
yoru,28,0.82,0.54,18,0.64,30.43,B
sova,83,1.32,0.84,48,0.58,45.58,S
vyse,19,1.04,0.74,13,0.68,52.42,A
astra,22,1.0,0.73,16,0.73,28.6,A
omen,33,0.78,0.45,22,0.67,40.62,A
cypher,33,1.04,0.79,22,0.67,44.62,S
deadlock,22,1.23,0.91,15,0.68,49.91,C
fade,16,1.34,0.88,7,0.44,35.38,B
gekko,22,1.26,0.82,13,0.59,32.92,A
sova,17,0.69,0.47,14,0.82,42.32,S
jett,17,0.94,0.59,14,0.82,41.72,S
raze,38,0.9,0.63,28,0.74,42.38,A
viper,38,1.21,0.79,22,0.58,46.03,B
astra,23,0.85,0.61,16,0.7,35.06,A
brimstone,20,1.29,0.8,14,0.7,44.26,B
omen,20,1.16,0.5,8,0.4,44.14,A
chamber,23,0.99,0.74,18,0.78,35.45,C
deadlock,20,0.44,0.4,17,0.85,52.13,C
viper,20,0.99,0.55,13,0.65,44.09,B
fade,40,0.76,0.33,24,0.6,28.97,B
sova,23,0.94,0.65,15,0.65,46.55,S
tejo,63,0.98,0.68,43,0.68,33.56,S
yoru,63,1.1,0.9,48,0.76,49.22,B
brimstone,20,1.6,1.05,10,0.5,55.77,B
omen,43,1.13,0.84,30,0.7,36.23,A
cypher,23,0.41,0.26,14,0.61,45.43,S
viper,20,1.07,0.7,11,0.55,45.9,B
vyse,20,0.97,0.75,15,0.75,48.08,A
fade,40,0.67,0.43,27,0.68,54.03,B
sova,23,0.73,0.39,16,0.7,36.34,S
